time_value,Illinois,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Indiana,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nevada,New Hampshire,New Jersey,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,South Carolina,Tennessee,Texas,Utah,Virginia,Wisconsin,Wyoming
2020-08-31,107.39199829999998,66.6823459,46.0964176,142.8796756,88.2491649,35.8660603,24.4025454,50.0121178,94.9786208,132.75422450000002,121.0371526,110.78797970000001,97.765299,139.1994317,100.4634317,114.6712619,12.7394102,59.11686,34.3508316,50.3383567,98.3854255,153.196085,150.9376176,102.54093119999999,9.8808806,28.4833858,23.702601299999998,106.38796620000001,237.28977450000002,64.1739565,130.903895,36.7322274,36.2896646,123.4371527,149.9818349,112.42216189999998,84.40314249999999,81.14718429999999,81.4208965,42.4159581
2020-09-07,128.38102469999998,74.84470770000001,55.6363953,148.58826309999998,76.0514648,35.4700356,13.6631763,84.2093156,114.101339,124.51894329999998,105.68540569999999,90.6994478,91.75489449999999,128.1485892,104.2604044,111.2549636,12.739410200000002,76.5216564,25.719604999999998,52.10426270000001,94.7618157,140.89320899999998,163.4873044,87.2776912,14.711533300000001,30.813844500000002,26.6900749,89.36397420000002,259.37235810000004,69.96363790000001,137.8372044,34.822528999999996,46.545269399999995,126.7717381,147.7602043,90.518777,90.03412130000001,81.21702850000001,105.56084670000001,31.253863799999998
2020-09-14,94.91139240000001,76.50484889999998,37.203218,161.68831649999998,58.20959820000001,37.9322761,43.0137031,70.65366970000001,80.3421033,107.65622499999999,67.66958919999999,98.97835479999999,90.985089,113.21965619999999,94.2095942,103.7135742,15.035466699999999,62.1387554,33.204836799999995,58.3852695,65.8259656,97.34439900000002,168.5429423,58.85428830000001,17.4196262,33.166819999999994,26.938306500000003,82.0125004,265.252336,61.129456499999996,150.7994784,27.042275399999998,42.3209929,135.5489801,133.080019,93.4512626,104.77313159999999,81.48476420000001,140.5191976,62.16427850000001
2020-09-21,103.9838634,81.6236183,74.4603344,189.30732080000004,62.725947700000006,63.914937900000005,31.740176899999998,74.9668297,90.6856719,112.0633143,50.045424499999996,129.6722941,81.2292846,190.74715009999997,103.523345,77.89654859999997,14.9614002,64.7643367,39.3990113,53.398591599999996,105.9331396,119.25362989999999,177.0286112,70.8035888,17.4196263,40.38336159999999,29.0534472,87.34227530000001,315.2974813,57.135688099999996,193.05247240000003,39.089879999999994,45.1919362,104.33036170000001,147.1648655,167.8124194,183.26836179999998,76.4443494,215.0307193,94.44848950000001
2020-09-28,112.5081727,104.4505623,43.9135413,187.5914446,60.04103119999999,70.44073589999999,31.5714958,74.1452755,72.9893355,74.1548776,54.805973699999996,165.4156491,93.19087800000001,162.399337,112.16704189999999,82.0942594,14.368869599999998,54.691352200000004,47.5225188,60.4923166,118.3594698,117.7368371,182.7507483,100.5334486,18.737077199999995,50.752214800000004,33.263042399999996,88.9647908,357.89465420000005,56.7594015,183.0293186,47.129475400000004,47.6169838,159.6576493,135.3742518,97.07855299999999,216.86961279999997,63.499912599999995,258.7157992,139.09686630000002
2020-10-05,111.26885099999998,137.37669989999998,47.9693795,177.5601694,58.730324599999996,69.6831236,55.4679974,100.0242359,76.2516086,78.73937079999999,46.2684594,191.52526690000002,113.3094487,139.92013880000002,138.9021969,77.96116190000001,18.0721866,64.5826927,63.682496099999994,70.2349007,126.5788775,123.1635852,156.3996575,103.43314559999999,31.9847762,59.2409391,47.919053299999995,94.6718947,376.1879189,69.8011505,170.5192169,48.44976079999999,58.2089661,109.31307530000001,144.72542819999998,108.3180445,224.0391104,69.4250191,287.53629340000003,150.2589608
2020-10-12,148.5974273,173.80339070000002,68.4186511,200.7088598,56.7065031,95.47233960000001,63.3048615,95.09491,84.50610970000001,80.9706837,47.1087782,237.31649370000002,157.13986709999998,156.7973792,173.96080690000002,101.31659950000001,15.473749699999999,67.32079759999999,60.9502816,86.11317860000001,153.20148550000002,152.04211880000003,175.6436085,126.9740884,41.405857499999996,60.61568150000001,50.3763811,123.88344729999999,508.3575877,87.38910609999999,207.2797601,57.3293213,70.91308679999999,114.51403189999999,204.7538985,92.39588199999999,252.935316,81.1432791,306.280844,202.67503390000002
2020-10-19,204.38714559999997,178.5521511,79.6932491,202.178913,58.802297,126.96333220000002,74.23729829999999,93.14371859999999,95.9389386,84.4751723,39.22351629999999,284.348968,187.03957910000003,184.17605350000002,163.6452868,95.16458870000001,15.5161273,70.9589259,69.9987685,121.95370119999998,194.76826069999998,180.37468870000004,234.77300830000001,144.6370221,39.4852583,86.6218663,52.6107819,136.97436820000001,641.9432292000001,115.00471990000001,198.95168540000003,55.05763029999999,80.06568589999999,126.68597589999999,209.502122,123.54444729999999,270.7858201,83.7520733,531.0543103,260.04619610000003
2020-10-26,261.7113922,280.1488592,95.22460790000001,235.272999,79.30791029999999,188.1289366,114.6469812,99.81884749999999,116.34674,98.7019909,46.2772255,342.1618872,228.20292020000002,200.150662,214.8416517,101.84406870000001,21.479238099999996,77.4463894,105.7361536,153.0719492,193.253298,174.2963597,226.6258836,169.99871589999998,47.6478016,119.59644569999999,63.4490464,137.44215889999998,732.2532466000001,142.0225074,234.27551819999996,62.28918170000001,100.7098818,132.0802448,258.5367964,143.93701489999998,323.7351298,86.6881484,493.53167650000006,371.95532410000004
2020-11-02,365.9335867,355.8236376,123.62894829999999,228.1455141,81.7642153,255.6425338,161.9058275,117.37957060000001,138.267007,103.08106879999998,37.624133300000004,317.6943837,305.02062700000005,348.95952209999996,263.6439191,90.2452534,40.514287,101.57201309999999,127.24894230000001,242.60138030000002,322.554302,171.9706107,311.80769460000005,189.1494615,65.2138113,161.1168909,75.27625079999999,153.6295814,1015.7988474000001,185.3895296,195.8408684,83.50805509999998,126.9864465,142.1223295,213.75569670000002,254.8401422,357.64408449999996,106.4307427,565.762933,461.93897590000006
